doi,title,journal,coordinate_space,publication_year,authors,pmid
,Temporal cortex activation during speech recognition: an optical topography study.,Cognition,TAL,1999,K L Sakai T Takeuchi H Sato,10585521
,The amygdala theory of autism.,Neuroscience and biobehavioral reviews,TAL,2000,S C Williams C Ashwin S Wheelwright E T Bullmore H A Ring S Baron-Cohen,10781695
,Recognizing one's own face.,Cognition,TAL,2001,"T T Kircher, C Senior, M L Phillips, S Rabe-Hesketh, P J Benson, E T Bullmore, M Brammer, A Simmons, M Bartels, A S David",11062324
,Functional imaging of brain responses to pain. A review and meta-analysis (2000).,Neurophysiologie clinique = Clinical neurophysiology,UNKNOWN,2000,"R Peyron, B Laurent, L García-Larrea",11126640
,[EEG and ischemic stroke in full-term newborns].,Neurophysiologie clinique = Clinical neurophysiology,UNKNOWN,2003,"D Selton, M André, J M Hascoët",12909390
,Differential involvement of left prefrontal cortex in inductive and deductive reasoning.,Cognition,MNI,2004,"Vinod Goel, Raymond J Dolan",15178381
,A meta-analysis of structural brain abnormalities in PTSD.,Neuroscience and biobehavioral reviews,MNI,2006,"Anke Karl, Michael Schaefer, Loretta S Malta, Denise Dörfel, Nicolas Rohleder, Annett Werner",16730374
10.1016/j.biopsych.2008.04.033,Neural responses to sad facial expressions in major depression following cognitive behavioral therapy.,Biological psychiatry,TAL,2008,"Cynthia H Y Fu, Steven C R Williams, Anthony J Cleare, Jan Scott, Martina T Mitterschiffthaler, Nicholas D Walsh, Catherine Donaldson, John Suckling, Chris Andrew, Herbert Steiner, Robin M Murray",18550030
10.1016/j.biopsych.2008.04.032,Regional gray matter changes are associated with cognitive deficits in remitted geriatric depression: an optimized voxel-based morphometry study.,Biological psychiatry,MNI,2008,"Yonggui Yuan, Wanlin Zhu, Zhijun Zhang, Feng Bai, Hui Yu, Yongmei Shi, Yun Qian, Wen Liu, Tianzi Jiang, Jiayong You, Zhening Liu",18550031
10.1093/cercor/bhn100,Sex differences and the impact of steroid hormones on the developing human brain.,"Cerebral cortex (New York, N.Y. : 1991)",MNI,2008,"Susanne Neufang, Karsten Specht, Markus Hausmann, Onur Güntürkün, Beate Herpertz-Dahlmann, Gereon R Fink, Kerstin Konrad",18550597
