// Reference=Talairach
// DOI=10.1097/00006534-200110000-00005
// Gosain A K, 2001: Finger-tapping vs. Rest
// Subjects=5
37	-21	50
-44	-23	50

// Gerardin E, 2000: Motor Execution vs. Rest
// Subjects=8
51.49	12.64	27.97
34.29	-21.42	59.58
-40.71	-24.08	60.76
37.13	-9.99	58.01
-35.12	-10.14	62.18
3.87	-1.17	55.58
-9.93	2.22	50.26
0.97	-10.32	62.77
-4.57	-4.71	63.21
37.06	-37.94	55.36
-46.17	-28.86	52.11
31.43	-41.23	60.36
-29.66	-46.5	58.83
-43.46	-40.31	53.77
54.3	-11.75	17.6
-56.83	-17.28	20.6
21.16	14.36	11.4
-28.84	3.44	9.52
23.8	-11.33	14.42
-31.64	-4.93	8.68
12.73	-13.8	11.29
-17.82	-16.44	10.53
18.52	-42.22	-15.62
-25.9	-41.99	-16.35
